Kantin,Nama Stall,Nama Produk,Harga,Keterangan Tambahan,Gambar,Porsi per orang
Gedung P,Soto Ayam Jago,Soto ayam biasa,"Rp16,000",,./images/soto ayam.jpg,1
Gedung P,Soto Ayam Jago,Soto ayam Special,"Rp18,000",lauk ayam lebih banyak dari biasa,./images/soto ayam special.jpg,1
Gedung P,Soto Ayam Jago,Soto ayam goreng,"Rp22,000",,./images/Resep-Soto-Ayam-Goreng-Madura.jpg,1
Gedung P,Soto Ayam Jago,Soto telor biasa/asin,"Rp13,000",bisa pilih telur rebus biasa atau telur rebus asin,./images/soto telor biasa.jpg,1
Gedung P,Soto Ayam Jago,Soto telor muda uritan,"Rp16,000",,./images/soto uritan.jpg,1
Gedung P,Soto Ayam Jago,Soto tempe + tahu crispy,"Rp13,000",,./images/soto tempetahu.jpeg,1
Gedung P,Soto Ayam Jago,Soto daging sapi,"Rp18,000",,./images/soto daging.jpeg,1
Gedung P,Soto Ayam Jago,Soto daging sapi spesial,"Rp20,000",lauk daging sapi lebih banyak dari biasa,./images/soto daging sapi spesial.jpg,1
Gedung P,Soto Ayam Jago,Nasi uduk ayam goreng/crispy,"Rp22,000",,./images/nasi uduk ayam goreng krispi.jpg,1
Gedung P,Soto Ayam Jago,Nasi uduk telor dadar,"Rp12,000",,./images/nasi uduk telor dadar.jpeg,1
Gedung P,Soto Ayam Jago,Nasi uduk tahu tempe,"Rp12,000",,./images/nasi uduk tahu tempe.jpeg,1
Gedung P,Soto Ayam Jago,Nasi uduk 3T ( tahu tempe telor),"Rp16,000",,./images/nasi uduk 3t.jpg,1
Gedung P,Soto Ayam Jago,Nasi uduk empal,"Rp22,000",,./images/nasi uduk empal.jpg,1
Gedung P,Soto Ayam Jago,Nasi uduk babat paru,"Rp22,000",,./images/nasi uduk paru babat.jpeg,1
Gedung P,Soto Ayam Jago,Nasi goreng jawa/mawut,"Rp16,000",bisa pilih nasi goreng jawa atau nasi goreng mawut,./images/nasigorengmawut.jpg,1
Gedung P,Soto Ayam Jago,Nasi goreng babat,"Rp22,000",,./images/nasi goreng babat.jpg,1
Gedung P,Soto Ayam Jago,Nasi mie sayur,"Rp16,000",,./images/nasi mie sayur.jpg,1
Gedung P,Soto Ayam Jago,Nasi aneka sayur,,harga bervariasi tergantung sayuran yang dipilih,./images/nasi sayur.jpg,1
Gedung P,NDOKEE! EXPRESS,Cap cay,"Rp30,000",dengan nasi putih,./images/capcay.jpg,1
Gedung P,NDOKEE! EXPRESS,Ayam telur asin,"Rp25,000",dengan nasi putih,./images/ayamtelurasin.jpg,1
Gedung P,NDOKEE! EXPRESS,Ayam koloke,"Rp25,000",dengan nasi putih,./images/ayam koloke.jpg,1
Gedung P,NDOKEE! EXPRESS,Ayam lada hitam,"Rp25,000",dengan nasi putih,./images/ayam_lada_hitam.jpg,1
Gedung P,NDOKEE! EXPRESS,Ayam saos inggris,"Rp25,000",dengan nasi putih,./images/ayam saus inggris.jpeg,1
Gedung P,NDOKEE! EXPRESS,Fuyunghai,"Rp25,000",dengan nasi putih,./images/fuyunghai.jpg,1
Gedung P,NDOKEE! EXPRESS,Cap cay,"Rp30,000",dengan bakmie/kwetiau/bihun (pilih 1),./images/capcay.jpg,1
Gedung P,NDOKEE! EXPRESS,Mie ayam lada hitam,"Rp25,000",,./images/mie ayam lada hitam.jpg,1
Gedung P,NDOKEE! EXPRESS,Lomie,"Rp20,000",,./images/lomie.jpg,1
Gedung P,NDOKEE! EXPRESS,Tamie cap cay,"Rp35,000",,./images/tamie capcay.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi putih,"Rp5,000",,./images/nasi putih.jpg,1
Gedung P,NDOKEE! EXPRESS,Telor,"Rp5,000",bisa pilih dadar/ceplok/orak arik,./images/telur.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng ayam,"Rp20,000",,./images/nasi goreng ayam.jpeg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng spesial,"Rp25,000",pilih lauk telor/lap jiang/ham/kornet/sosis,./images/nasi goreng spesial.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng mawut,"Rp25,000",,./images/nasi goreng mawut.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng hong kong,"Rp25,000",,./images/nasi goreng hongkong.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng ikan asin,"Rp25,000",,./images/nasi goreng ikan asin.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng telor,"Rp30,000",pilih telor lap jiong/ham/kornet/sosis,./images/nasi goreng telor.jpeg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng UP,"Rp35,000",,./images/Nasi goreng UP.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng telor asin,"Rp35,000",,./images/nasi goreng telor asin.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng ayam koloke,"Rp35,000",,./images/nasi goreng ayam koloke.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng ayam lada hitam,"Rp35,000",,./images/nasi goreng ayam lada hitam.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng saos inggris,"Rp35,000",,./images/nasi goreng saus inggris.jpg,1
Gedung P,NDOKEE! EXPRESS,Nasi goreng fuyunghai,"Rp35,000",,./images/nasi goreng fuyunghai.jpeg,1
Gedung P,Depot KITA,Nasi ayam goreng kremes,"Rp25,000",,./images/nasi ayam goreng kremes.jpg,1
Gedung P,Depot KITA,Nasi ayam goreng kalasan,"Rp25,000",,./images/ayam-goreng-kalasan-foto-resep-utama.jpg,1
Gedung P,Depot KITA,Nasi empal suwir,"Rp25,000",,./images/nasi empal suwir.jpg,1
Gedung P,Depot KITA,Nasi ayam hongkong,"Rp20,000",bisa jumbo + 8000 (porsi lebih besar),./images/nasi ayam hongkong.jpg,1
Gedung P,Depot KITA,Nasi koloke,"Rp20,000",bisa jumbo + 8000 (porsi lebih besar),./images/nasi goreng ayam koloke.jpg,1
Gedung P,Depot KITA,Nasi ayam geprek,"Rp20,000",bisa jumbo + 8000 (porsi lebih besar),./images/nasi ayam geprek.jpg,1
Gedung P,Depot KITA,Nasi ayam kungpao,"Rp20,000",bisa jumbo + 8000 (porsi lebih besar),./images/nasi kungpao.jpeg,1
Gedung P,Depot KITA,Nasi ham,"Rp25,000",,./images/nasi ham.jpeg,1
Gedung P,Depot KITA,Nasi fuyunghai,"Rp20,000",,./images/nasi fuyunghai.jpg,1
Gedung P,Depot KITA,Nasi bbq,"Rp20,000",bisa jumbo + 8000 (porsi lebih besar),./images/nasi bbq.jpeg,1
Gedung P,Depot KITA,Sosis bakar,"Rp6,000",untuk 1 sosis (tanpa nasi),./images/sosis bakar.jpg,1
Gedung P,Depot KITA,Nasi mayo,"Rp25,000",ayam mayo,./images/nasi mayo.jpeg,1
Gedung P,Carnival,French fries (kentang),"Rp17,000","dengan pilihan bumbu: barbeque, ayam bakar, balado, jagung manis, cheese, super pedas dan pilihan saus: saus mayonnaise, chili sauce, tomato sauce (bisa lebih dari 1 bumbu/saus",./images/french fries.jpeg,1
Gedung P,Carnival,Mushroom crispy (jamur),"Rp15,000","dengan pilihan bumbu: barbeque, ayam bakar, balado, jagung manis, cheese, super pedas dan pilihan saus: saus mayonnaise, chili sauce, tomato sauce (bisa lebih dari 1 bumbu/saus",./images/mushroom crispy.jpeg,1
Gedung P,Carnival,Tahu crispy,"Rp13,000","dengan pilihan bumbu: barbeque, ayam bakar, balado, jagung manis, cheese, super pedas dan pilihan saus: saus mayonnaise, chili sauce, tomato sauce (bisa lebih dari 1 bumbu/saus",./images/tahu crispy.jpg,1
